אינפיניטי פנסיה כללית,14044,,,,,
אינפיניטי כללית מסלול לבני 50 ומטה,14045,,,,,
אינפיניטי כללית מסלול לבני 50 עד 60,14046,,,,,
אינפיניטי כללית עוקב מדד S;P 500,14058,,,,,
אינפיניטי פנסיה כללית מניות ,15686,,,,,
אינפיניטי כללית הלכה,14049,,,,,
אינפיניטי כללית מסלול לבני 60 ומעלה,14047,,,,,
אינפיניטי כללית עוקב מדדי מניות,14048,,,,,
אינפיניטי פנסיה כללית משולב סחיר,14335,,,,,
מסלול בסיסי למקבלי קצבה,14050,,,,,
אינפיניטי פנסיה כללית עוקב מדדים גמיש,14336,,,,,
אינפיניטי פנסיה מקיפה ,14036,,,,,
אינפיניטי מקיפה  מסלול לבני 50 ומטה,14037,,,,,
אינפיניטי מקיפה מסלול לבני 50 עד 60,14038,,,,,
אינפיניטי מקיפה מסלול לבני 60 ומעלה,14039,,,,,
אינפיניטי מקיפה עוקב מדד S;P 500,14054,,,,,
אינפיניטי מקיפה הלכה,14042,,,,,
אינפיניטי פנסיה מקיפה משולב סחיר,14333,,,,,
אינפיניטי מקיפה עוקב מדדי מניות,14040,,,,,
אינפיניטי מסלול בסיסי למקבלי קצבה,14043,,,,,
אינפיניטי פנסיה מקיפה מניות,15685,,,,,
אינפיניטי פנסיה מקיפה עוקב מדדים גמיש,14334,,,,,
אלטשולר שחם פנסיה כללית,1329,,,,,
אלטשולר שחם פנסיה כללית מסלול לבני 50 ומטה,9761,,,,,
אלטשולר שחם פנסיה כללית מניות,13211,,,,,
אלטשולר שחם פנסיה כללית מסלול לבני 50 עד 60,9762,,,,,
אלטשולר שחם פנסיה כללית בסיסי למקבלי קצבה,12139,,,,,
אלטשולר שחם פנסיה כללית עוקב מדד S;P 500,14854,,,,,
אלטשולר שחם פנסיה כללית עוקב מדדי מניות,13820,,,,,
אלטשולר שחם פנסיה כללית מסלול לבני 60 ומעלה,9763,,,,,
אלטשולר שחם פנסיה כללית עוקב מדדים גמיש,14305,,,,,
אלטשולר שחם פנסיה כללית הלכה,13212,,,,,
אלטשולר שחם פנסיה כללית הלכה למקבלי קצבה,15313,,,,,
אלטשולר שחם פנסיה כללית משולב סחיר,14304,,,,,
אלטשולר שחם פנסיה כללית למקבלי קצבה קיימים,8580,,,,,
אלטשולר שחם פנסיה מקיפה,1328,,,,,
אלטשולר שחם פנסיה מקיפה מסלול לבני 50 ומטה,9757,,,,,
אלטשולר שחם פנסיה מקיפה מסלול לבני 50-60,9758,,,,,
אלטשולר שחם פנסיה מקיפה מניות,12419,,,,,
אלטשולר שחם פנסיה מקיפה בסיסי למקבלי קצבה,12138,,,,,
אלטשולר שחם פנסיה מקיפה מסלול לבני 60 ומעלה,9759,,,,,
אלטשולר שחם פנסיה מקיפה עוקב מדד S;P500,14850,,,,,
אלטשולר שחם פנסיה מקיפה עוקב מדדי מניות,13819,,,,,
אלטשולר שחם פנסיה מקיפה הלכה,9760,,,,,
אלטשולר שחם פנסיה מקיפה עוקב מדדים גמיש,14303,,,,,
אלטשולר שחם פנסיה מקיפה משולב סחיר,14302,,,,,
אלטשולר שחם פנסיה מקיפה הלכה למקבלי קצבה,15314,,,,,
אלטשולר שחם פנסיה מקיפה למקבלי קצבה קיימים,2196,,,,,
הפניקס פנסיה מקיפה,209,,,,,
הפניקס פנסיה מקיפה  - מסלול לבני 50 ומטה,9974,,,,,
הפניקס פנסיה מקיפה עוקב מדד S;P500,13335,,,,,
הפניקס פנסיה מקיפה - מניות,2187,,,,,
הפניקס פנסיה מקיפה - מסלול לבני 50 עד 60,9975,,,,,
הפניקס פנסיה מקיפה - מסלול בסיסי למקבלי קצבה,12119,,,,,
הפניקס פנסיה מקיפה - מסלול לבני 60 ומעלה,9976,,,,,
הפניקס פנסיה מקיפה - מסלול הלכה,9984,,,,,
הפניקס פנסיה מקיפה עוקב מדדי מניות,15219,,,,,
הפניקס פנסיה מקיפה מניות סחיר,15218,,,,,
הפניקס פנסיה מקיפה - מסלול מקבלי קצבה קיימים,2201,,,,,
"הפניקס פנסיה מקיפה אשראי ואג""ח",2188,,,,,
הפניקס פנסיה מקיפה -כספי (שקלי),2189,,,,,
הפניקס פנסיה מקיפה עוקב מדדים גמיש,14286,,,,,
"הפניקס פנסיה מקיפה -מסלול עוקב מדדי אג""ח",9979,,,,,
הפניקס פנסיה מקיפה  משולב סחיר,14285,,,,,
"הפניקס פנסיה מקיפה אג""ח סחיר",15217,,,,,
מסלול קצבה לזכאים קיימים,9987,,,,,
הפניקס פנסיה משלימה,671,,,,,
הפניקס פנסיה משלימה - מסלול לבני 50 ומטה,7234,,,,,
הפניקס פנסיה משלימה עוקב מדד S;P500,13465,,,,,
הפניקס פנסיה משלימה - מניות,8318,,,,,
הפניקס פנסיה משלימה - מסלול לבני 50 עד 60,7235,,,,,
הפניקס פנסיה משלימה- שריעה,14082,,,,,
הפניקס פנסיה משלימה - מסלול בסיסי למקבלי קצבה,12120,,,,,
הפניקס פנסיה משלימה - מסלול לבני 60 ומעלה,7236,,,,,
הפניקס פנסיה משלימה עוקב מדדי מניות,15223,,,,,
הפניקס פנסיה משלימה מניות סחיר,15221,,,,,
הפניקס פנסיה כללית - מסלול מקבלי קצבה קיימים,2202,,,,,
הפניקס פנסיה משלימה - כספי (שקלי),8320,,,,,
הפניקס פנסיה משלימה עוקב מדדים גמיש,14287,,,,,
"הפניקס פנסיה משלימה - אשראי ואג""ח",8319,,,,,
הפניקס פנסיה משלימה הלכה,15224,,,,,
הפניקס פנסיה משלימה משולב סחיר,14288,,,,,
"הפניקס פנסיה משלימה אג""ח סחיר",15220,,,,,
"הפניקס פנסיה משלימה עוקב מדדי אג""ח",15222,,,,,
הראל  פנסיה,214,,,,,
הראל  פנסיה - גילעד כללי,2172,,,,,
הראל פנסיה - גילאי 50 ומטה,9823,,,,,
הראל פנסיה עוקב מדד s;p 500,13415,,,,,
הראל פנסיה - גילאי 50 עד 60,9827,,,,,
הראל פנסיה - מניות,2175,,,,,
הראל  פנסיה - בסיסי למקבלי קצבה,12027,,,,,
הראל פנסיה - מנוף כללי,2177,,,,,
הראל פנסיה - גילאי 60 ומעלה,9829,,,,,
הראל פנסיה - הלכה,2173,,,,,
הראל  פנסיה - מקבלי קצבה קיימים,2203,,,,,
הראל  פנסיה עוקב מדדי מניות,15038,,,,,
הראל פנסיה מניות סחיר,15277,,,,,
הראל פנסיה -  הלכה למקבלי קצבה,12028,,,,,
הראל  פנסיה- עוקב מדדים גמיש,14198,,,,,
"הראל פנסיה - אשראי ואג""ח",2174,,,,,
הראל פנסיה - כספי (שקלי),9097,,,,,
הראל  פנסיה- משולב סחיר,14199,,,,,
הראל פנסיה- הלכה למקבלי קצבה קיימים,8806,,,,,
"הראל פנסיה אג""ח סחיר",15276,,,,,
"הראל פנסיה עוקב מדדי אג""ח",15278,,,,,
הראל  פנסיה- קיימות,14200,,,,,
הראל פנסיה  - קצבה לזכאים קיימים,8588,,,,,
הראל פנסיה כללית,662,,,,,
הראל פנסיה כללית עוקב מדד s;p,13424,,,,,
הראל פנסיה כללית - גילאי 50 ומטה,9862,,,,,
הראל פנסיה כללית - כללי,2164,,,,,
הראל פנסיה כללית מניות,13278,,,,,
הראל פנסיה כללית - גילאי 50 עד 60,9858,,,,,
הראל פנסיה כללית - בסיסי למקבלי קצבה,12140,,,,,
הראל פנסיה כללית - גילאי 60 ומעלה,9856,,,,,
הראל פנסיה כללית עוקב מדדי מניות,15039,,,,,
הראל פנסיה כללית מניות סחיר,15279,,,,,
הראל פנסיה כללית - מקבלי קצבה קיימים,2204,,,,,
הראל פנסיה כללית עוקב מדדים גמיש,14192,,,,,
הראל פנסיה כללית הלכה,13684,,,,,
הראל פנסיה כללית כספי (שקלי),13279,,,,,
הראל פנסיה כללית- הלכה למקבלי קצבה,13685,,,,,
הראל פנסיה כללית משולב סחיר,14193,,,,,
"הראל פנסיה כללית אשראי ואג""ח",15281,,,,,
"הראל פנסיה כללית אג""ח סחיר",15280,,,,,
"הראל פנסיה כללית עוקב מדדי אג""ח",15282,,,,,
הראל פנסיה כללית קיימות,14194,,,,,
כלל פנסיה,170,,,,,
כלל פנסיה כללי,2002,,,,,
כלל פנסיה לבני 50 ומטה,9654,,,,,
כלל פנסיה לבני 50-60,9655,,,,,
כלל פנסיה עוקב מדד s;p 500,13347,,,,,
כלל פנסיה מסלול בסיסי למקבלי קצבה,12177,,,,,
כלל פנסיה מניות,9647,,,,,
כלל פנסיה לבני 60 ומעלה,9656,,,,,
כלל פנסיה למקבלי קצבה קיימים,2205,,,,,
כלל פנסיה הלכה,2004,,,,,
כלל פנסיה עוקב מדדי מניות,15092,,,,,
כלל פנסיה משולב סחיר,14232,,,,,
"כלל פנסיה אשראי ואג""ח",9648,,,,,
